length,stop_a_name,stop_a_lat,stop_a_long,stop_b_name,stop_b_lat,stop_b_long
0.07755567430084051,Caulfield Railway Station/Derby Rd,-37.87640435,145.04193878,Dandenong Rd/Derby Rd,-37.87570923,145.04186623
0.10655396344267364,Camberwell Market/Riversdale Rd,-37.83140689,145.05762726,Camberwell Junction/Riversdale Rd,-37.83126992,145.05642645
0.112075857663237,Kooyong Railway Station/Glenferrie Rd,-37.83933346,145.03243108,Vision Australia/Glenferrie Rd,-37.83833625,145.03261666
0.11917517488563274,Nicholson St/Hopkins St,-37.79984074,144.89973634,Footscray Market/Leeds St,-37.80008059,144.90105834
0.1220222793158037,Gooch St/High St,-37.75835995,145.0007412,Clarendon St/High St,-37.75944719,145.00055301
0.12524178352829246,St Kilda Station/Fitzroy St,-37.8592851,144.97763712,Canterbury Rd/Fitzroy St,-37.86018041,144.97677153
0.12714580846871376,Chapel St/Brighton Rd,-37.87177121,144.98949396,Brunning St/Brighton Rd,-37.87280032,144.99012535
0.12808193997496053,Caulfield Racecourse/Normanby Rd,-37.8753568,145.03910153,Balaclava Rd/Normanby Rd,-37.87449359,145.03813533
0.12858120950350135,Chapel St/Carlisle St,-37.86824957,144.99013534,St Kilda Town Hall/Carlisle St,-37.86808962,144.98868461
0.12957067671471348,Curzon St/Queensberry St,-37.80282645,144.94794449,North Melbourne Town Hall/Queensberry St,-37.80298707,144.94940519
0.1321649059244274,Hawthorn Railway Station/Burwood Rd,-37.82145268,145.02481722,Burwood Rd/Power St,-37.82174748,145.02627489
0.13242789348190614,Docklands Stadium/La Trobe St ,-37.81460496,144.9464029,Central Pier/Harbour Esp,-37.81470491,144.94490068
0.13393737290530425,Toorak Rd/Camberwell Rd,-37.84784261,145.0756184,Summerhill Rd/Toorak Rd,-37.84819985,145.07707518
0.13423418384700858,St Vincents Plaza/Victoria Pde,-37.80828329,144.97633747,Albert St/Gisborne St,-37.80939028,144.97572795
0.13464237619276748,William St/Victoria St,-37.80568781,144.95390781,Chetwynd St/Victoria St,-37.80551725,144.95239053
0.14223550867813356,Prahran RSL/High St ,-37.85243434,144.99808883,Lewisham Rd/High St,-37.85265073,144.9996855
0.14353663074122,Footscray Market/Leeds St,-37.80008059,144.90105834,Footscray Station/Leeds St,-37.80136679,144.90091971
0.14549857672136704,Camberwell Junction/Riversdale Rd,-37.83126992,145.05642645,Burke Rd/Camberwell Rd,-37.83208437,145.05772312
0.1469957910282756,Nicholson St/Droop St,-37.79927622,144.89941162,Leeds St/Hopkins St,-37.79985278,144.90091715
0.14706824594751297,Burke Rd/Camberwell Rd,-37.83208437,145.05772312,Camberwell Primary School/Camberwell Rd,-37.8330495,145.05886814
0.14902242513011765,Wattletree Rd/Glenferrie Rd,-37.86247803,145.02825781,Llaneast St/Glenferrie Rd,-37.86114774,145.02846377
